To reveal;Odkrywać / Ujawniać
To betray;Zdradzać
To emit;Emitować
To attend;Uczeszczać
To spread;Rozprzestrzeniać się
To endure;Trwać / Przetrzymywać
To anticipate;Przewidywać
To investigate;Badać
To postpone;Odraczać
To suffer;Cierpieć
To extinguish;Gasić
To replace;Wymienić
To conduct;Przewodzić
To discover;Odkrywać
To develop;Rozwijać
To draw;Rysować
To take up;Podjąć
To understand;Rozumieć
To interrupt;Przerwać coś
To assume;Zakładać
To endure;Przetrwać
To chop;Rąbać
To thieve;Kraść
To rob;Obrabowywać
To tear;Rozerwać
To falter;Potykać się
To abandon;Porzucić
To fulfill;Spełniać
To consider;Rozważać
To plod;Wlec się
To confirm;Potwierdzać
To deliver;Dostarczać
To commit;Popełniać
To mention;Wymieniać / wspominać
To refert to;Odnosić się do
To impose;Nakładać
To emerge;Wynurzać się / wyłaniać się
To rush;Spieszyć się
To require;Wymagać
To dust;Odkurzać
To arrange;Aranżować / organizować
To influence;Wpływać
To response;Odpowiadać
To behave;Zachowywać się
To imply;Sugerować
